InvoiceID;CustID;SalesDate;ProdID;Amt;Qty;Discounted
1;25;04/30/2005;22;1954.4;4;false
1;25;04/30/2005;26;4802.7;17;false
1;25;04/30/2005;41;1380.5;8;false
2;23;10/09/2006;11;6731.7;19;false
2;23;10/09/2006;12;4390.2;16;false
2;23;10/09/2006;19;373.4;3;false
2;23;10/09/2006;30;2733.2;11;true
2;23;10/09/2006;33;2769.9;7;false
2;23;10/09/2006;34;4766.7;14;false
3;1;12/01/2010;24;2682;9;false
3;1;12/01/2010;26;4802.7;17;false
3;1;12/01/2010;29;4566.1;9;false
3;1;12/01/2010;47;1557;11;false
3;1;12/01/2010;48;2109.2;6;false
4;5;05/15/2009;3;3226.7;13;false
4;5;05/15/2009;6;2083.7;6;false
4;5;05/15/2009;14;5589.2;13;false
4;5;05/15/2009;33;5935.5;15;false
4;5;05/15/2009;44;393.1;2;false
5;16;08/13/2010;3;1489.3;6;false
5;16;08/13/2010;17;2555.3;10;true
5;16;08/13/2010;20;2787.1;12;false
5;16;08/13/2010;21;5908;13;true
5;16;08/13/2010;25;2891.7;10;false
5;16;08/13/2010;29;1014.7;2;false
5;16;08/13/2010;36;7842.8;17;false
5;16;08/13/2010;46;9332.8;18;false
6;18;08/21/2010;4;1505.5;6;false
6;18;08/21/2010;25;4915.9;17;false
6;18;08/21/2010;39;4215.1;14;false
7;9;12/22/2010;14;8168.9;19;false
7;9;12/22/2010;16;5992.5;13;false
7;9;12/22/2010;17;3172.5;11;false
7;9;12/22/2010;19;2115.8;17;false
7;9;12/22/2010;28;5472.1;10;false
7;9;12/22/2010;46;1037;2;false
8;9;01/15/2008;13;8595.8;20;false
8;9;01/15/2008;27;3371.7;10;false
8;9;01/15/2008;29;3044.1;6;false
8;9;01/15/2008;32;6562.7;16;false
9;30;10/27/2009;14;3009.6;7;false
9;30;10/27/2009;19;900.6;9;true
9;30;10/27/2009;21;6816.9;15;true
9;30;10/27/2009;22;7387.7;18;true
9;30;10/27/2009;32;4168.9;12;true
10;13;07/29/2011;8;7596.3;13;false
10;13;07/29/2011;27;5731.9;17;false
10;13;07/29/2011;29;2029.4;4;false
10;13;07/29/2011;33;2779.4;8;true
10;13;07/29/2011;39;1526.5;6;true
11;3;05/13/2011;1;2565.5;18;true
11;3;05/13/2011;9;2770;11;true
11;3;05/13/2011;21;5453.5;12;true
11;3;05/13/2011;22;2873;7;true
11;3;05/13/2011;27;6048.8;20;true
11;3;05/13/2011;39;2544.1;10;true
12;22;09/22/2005;15;2208.5;16;true
12;22;09/22/2005;32;3691.5;9;false
12;22;09/22/2005;34;1702.4;5;false
12;22;09/22/2005;39;4215.1;14;false
12;22;09/22/2005;43;3960;8;false
12;22;09/22/2005;45;990.1;2;false
13;16;05/16/2006;6;694.6;2;false
13;16;05/16/2006;13;3438.3;8;false
13;16;05/16/2006;15;2859.1;18;false
13;16;05/16/2006;20;929;4;false
13;16;05/16/2006;26;3672.6;13;false
13;16;05/16/2006;35;2827.5;5;false
13;16;05/16/2006;36;5997.4;13;false
13;16;05/16/2006;39;1806.5;6;false
13;16;05/16/2006;44;589.7;3;false
14;2;10/28/2007;4;1254.5;5;false
14;2;10/28/2007;8;3506;6;false
14;2;10/28/2007;9;4433.4;15;false
14;2;10/28/2007;21;5659.5;10;false
14;2;10/28/2007;33;5539.8;14;false
14;2;10/28/2007;39;3311.9;11;false
15;18;11/05/2010;17;5191.4;18;false
15;18;11/05/2010;18;2737.4;6;false
15;18;11/05/2010;24;3576;12;false
15;18;11/05/2010;30;3116.5;11;false
15;18;11/05/2010;31;2861.7;7;false
15;18;11/05/2010;39;602.2;2;false
16;11;01/06/2006;22;2443.1;5;false
16;11;01/06/2006;26;3955.1;14;false
16;11;01/06/2006;29;2536.8;5;false
16;11;01/06/2006;34;6128.6;18;false
16;11;01/06/2006;47;424.6;3;false
17;2;11/14/2010;5;4825.1;17;false
17;2;11/14/2010;6;4167.4;12;false
17;2;11/14/2010;20;1161.3;5;false
17;2;11/14/2010;26;5650.2;20;false
17;2;11/14/2010;32;5742.4;14;false
17;2;11/14/2010;40;4014.2;20;false
18;29;01/13/2010;2;9176;18;false
18;29;01/13/2010;11;1062.9;3;false
18;29;01/13/2010;14;1289.8;3;false
18;29;01/13/2010;27;6069.1;18;false
18;29;01/13/2010;31;1635.2;4;false
19;27;03/19/2008;2;6627.1;13;false
19;27;03/19/2008;19;1369.1;11;false
19;27;03/19/2008;28;4377.7;8;false
19;27;03/19/2008;38;2493.9;11;false
20;2;08/13/2011;1;329.9;2;false
20;2;08/13/2011;4;3763.7;15;false
20;2;08/13/2011;16;4148.6;9;false
20;2;08/13/2011;24;4172;14;false
20;2;08/13/2011;32;2871.2;7;false
21;5;04/27/2007;3;4964.2;20;false
21;5;04/27/2007;5;3406;12;false
21;5;04/27/2007;10;10075.3;18;false
21;5;04/27/2007;13;1719.2;4;false
21;5;04/27/2007;30;2266.6;8;false
21;5;04/27/2007;34;5107.2;15;false
21;5;04/27/2007;40;1605.7;8;false
22;8;10/25/2008;2;1019.6;2;false
22;8;10/25/2008;8;9933.6;17;false
22;8;10/25/2008;19;248.9;2;false
22;8;10/25/2008;25;5783.4;20;false
23;27;08/28/2009;11;2125.8;6;false
23;27;08/28/2009;27;4046;12;false
23;27;08/28/2009;45;2970.2;6;false
24;23;05/24/2009;11;7086;20;false
24;23;05/24/2009;39;3311.9;11;false
24;23;05/24/2009;46;6740.4;13;false
25;1;08/13/2008;7;7853.9;18;false
25;1;08/13/2008;17;1730.5;6;false
25;1;08/13/2008;18;3193.7;7;false
25;1;08/13/2008;19;497.8;4;false
25;1;08/13/2008;23;2566.3;11;false
25;1;08/13/2008;32;4511.9;11;false
25;1;08/13/2008;36;5536.1;12;false
25;1;08/13/2008;37;2922.8;5;false
25;1;08/13/2008;45;2475.2;5;false
25;1;08/13/2008;47;424.6;3;false
26;26;10/03/2006;5;4541.3;16;false
26;26;10/03/2006;27;3708.9;11;false
26;26;10/03/2006;30;3399.8;12;false
26;26;10/03/2006;31;3270.5;8;false
27;14;04/04/2007;4;5018.2;20;false
27;14;04/04/2007;14;4729.3;11;false
27;14;04/04/2007;17;3460.9;12;false
27;14;04/04/2007;21;3961.7;7;false
27;14;04/04/2007;28;4924.9;9;false
27;14;04/04/2007;36;2306.7;5;false
27;14;04/04/2007;47;283.1;2;false
28;19;02/15/2007;1;2309.6;14;false
28;19;02/15/2007;15;2223.8;14;false
28;19;02/15/2007;22;2443.1;5;false
28;19;02/15/2007;31;3270.5;8;false
28;19;02/15/2007;39;3010.8;10;false
28;19;02/15/2007;42;5037;9;false
29;10;05/08/2008;3;3723.2;15;false
29;10;05/08/2008;7;4799.6;11;false
29;10;05/08/2008;17;3172.5;11;false
29;10;05/08/2008;35;2827.5;5;false
29;10;05/08/2008;45;5445.4;11;false
30;7;10/16/2008;12;1372;5;false
30;7;10/16/2008;22;7329.1;15;false
30;7;10/16/2008;32;6972.9;17;false
31;20;07/08/2010;4;752.7;3;false
31;20;07/08/2010;28;9302.6;17;false
31;20;07/08/2010;43;8910;18;false
31;20;07/08/2010;44;1572.5;8;false
32;34;04/15/2010;5;567.7;2;false
32;34;04/15/2010;31;4088.1;10;false
32;34;04/15/2010;40;602.1;3;false
32;34;04/15/2010;41;2761;16;false
32;34;04/15/2010;47;849.3;6;false
33;29;07/23/2009;14;4729.3;11;false
33;29;07/23/2009;45;7425.6;15;false
34;20;09/29/2011;7;5236;12;false
34;20;09/29/2011;12;3292.7;12;false
34;20;09/29/2011;14;5159.3;12;false
34;20;09/29/2011;20;3948.4;17;false
34;20;09/29/2011;33;1582.8;4;false
34;20;09/29/2011;48;1406.2;4;false
35;39;06/27/2006;1;824.9;5;false
35;39;06/27/2006;3;992.8;4;false
35;39;06/27/2006;4;752.7;3;false
35;39;06/27/2006;25;3759.2;13;false
35;39;06/27/2006;26;3672.6;13;false
35;39;06/27/2006;31;1226.4;3;false
36;6;01/08/2008;4;1254.5;5;false
36;6;01/08/2008;22;2931.7;6;false
36;6;01/08/2008;28;7660.9;14;false
36;6;01/08/2008;29;5580.9;11;false
36;6;01/08/2008;31;6949.8;17;false
36;6;01/08/2008;40;3010.7;15;false
36;6;01/08/2008;48;2812.3;8;false
37;38;04/30/2011;10;2239;4;false
37;38;04/30/2011;27;4383.2;13;false
37;38;04/30/2011;30;5666.4;20;false
37;38;04/30/2011;38;2267.2;10;false
37;38;04/30/2011;41;345.1;2;false
38;8;02/27/2007;16;2304.8;5;false
38;8;02/27/2007;23;4199.4;18;false
38;8;02/27/2007;34;5447.7;16;false
38;8;02/27/2007;38;2947.4;13;false
39;15;12/21/2010;5;3406;12;false
39;15;12/21/2010;7;2618;6;false
39;15;12/21/2010;12;823.2;3;false
39;15;12/21/2010;25;2891.7;10;false
39;15;12/21/2010;27;5394.7;16;false
39;15;12/21/2010;34;3745.3;11;false
39;15;12/21/2010;45;8910.7;18;false
39;15;12/21/2010;48;1054.6;3;false
40;28;03/02/2010;15;1906.1;12;false
40;28;03/02/2010;20;1161.3;5;false
40;28;03/02/2010;28;10397;19;false
40;28;03/02/2010;31;2452.9;6;false
40;28;03/02/2010;42;8954.7;16;false
41;21;06/27/2005;5;3689.8;13;false
41;21;06/27/2005;6;6251;18;false
41;21;06/27/2005;7;2181.7;5;false
41;21;06/27/2005;26;847.5;3;false
41;21;06/27/2005;34;2383.4;7;false
42;17;05/25/2011;5;2554.5;9;false
42;17;05/25/2011;31;5314.5;13;false
42;17;05/25/2011;33;5539.8;14;false
42;17;05/25/2011;35;3958.5;7;false
43;10;02/23/2007;1;3299.4;20;false
43;10;02/23/2007;12;548.8;2;false
43;10;02/23/2007;27;5057.6;15;false
43;10;02/23/2007;33;4352.7;11;false
44;36;10/06/2008;24;5066;17;false
44;36;10/06/2008;41;690.2;4;false
44;36;10/06/2008;45;6930.6;14;false
44;36;10/06/2008;48;5624.6;16;false
45;18;09/16/2010;6;1736.4;5;false
45;18;09/16/2010;11;2480.1;7;false
45;18;09/16/2010;15;794.2;5;false
45;18;09/16/2010;19;2115.8;17;false
